u1	u2	u3	y1	y2
10,0056448	298,3413952	277,4852098	10,18744829	311,9661991
10,01016064	298,4945114	306,2382789	8,297804082	311,3885661
10,01377331	298,6170043	292,4554021	9,103729168	311,6475437
10,01666344	298,7149987	284,6595885	7,917212323	311,4673627
10,01897555	298,7933941	320,7297242	8,567795136	311,2917275
10,02082524	298,8561105	322,740418	9,266440191	311,9018134
10,02230499	298,9062836	310,0583148	7,835817502	312,6543374
10,02348879	298,9464221	307,5412501	8,560356321	313,0879807
10,02443583	298,9785329	322,5800445	8,239269209	313,3762949
10,02519346	299,0042215	317,2468771	8,235692938	314,203596
10,02579956	299,0247724	322,9663027	8,743736417	314,787945
10,02628445	299,0412132	322,6591309	8,734851667	315,4746206
10,02667236	299,0543657	315,512718	7,81102189	316,2404548
10,02698268	299,0648878	313,4905285	7,629464885	316,8647854
10,02723094	299,0733055	322,3709414	8,356148167	317,3420569
10,02742955	299,0800396	318,1421764	8,606462409	318,0247766
10,02758844	299,0854269	322,8105053	8,308133999	318,5913957
10,02771555	299,0897367	322,3164003	7,666898117	319,441534
10,02781724	299,0931846	316,5053249	8,327449101	320,0336893
10,02789859	299,0959429	314,0410946	9,850495757	320,597966
10,02796367	299,0981495	320,8882248	8,010157869	321,1151145
10,02801573	299,0999148	307,3634914	9,081273032	321,8694447
10,02805738	299,1013271	318,0749235	8,967445712	322,0461958
10,0280907	299,1024569	322,9714771	6,631233616	322,7435166
10,02811736	299,1033607	307,3381631	7,57675648	323,4764855
10,02813868	299,1040838	301,0093338	9,011539914	323,7700776
10,02815575	299,1046622	321,2137914	7,288249036	323,969419
10,02816939	299,105125	279,7131148	8,410160392	324,6332602
10,02818031	299,1054952	274,2144725	7,168538394	324,0496494
10,02818905	299,1057914	278,703929	8,374444863	323,3573859
10,02782355	299,1060283	317,8929157	7,423435259	322,7030334
10,02753116	299,1062179	294,2359042	7,596310836	323,1805581
10,02729724	299,1063695	273,1907455	10,37215463	322,8573476
10,02711011	299,1064908	276,3982354	6,578284582	322,010643
10,0269604	299,1065879	280,4624492	8,414050752	321,2563818
10,02684064	299,1066655	273,5202504	8,58735691	320,5671987
10,02674482	299,1067276	280,8537746	7,176088592	319,6226277
10,02666817	299,1067773	277,2987621	5,752513301	319,000667
10,02660685	299,1068171	273,7238402	8,825456077	318,0180498
10,0265578	299,1068489	273,2284012	7,82702724	317,2829108
10,02651855	299,1068743	278,0073153	6,908521457	316,3253543
10,02648716	298,7906599	276,0276483	7,921331386	315,5966635
10,02646204	298,5376884	275,1435948	6,551291006	314,7221384
10,02644195	298,3353112	282,7406867	8,579735513	313,8237558
10,02642587	298,1734094	278,4774628	8,234124468	313,2468725
10,02641301	298,043888	273,4436792	8,427425197	312,4984937
10,02640273	297,9402708	284,1899649	9,050901234	311,74682
10,0263945	297,8573771	280,7635723	6,344910702	311,1181966
10,02638791	297,7910622	273,200084	7,256039416	310,5354558
10,02638264	297,7380102	280,752546	8,991100358	309,6993966
10,02637843	297,6955686	284,5532057	9,157207321	309,1960332
10,02637506	297,6616153	275,3789435	8,254836937	308,7105671
10,02637236	297,6344527	297,0258768	8,69647908	308,0171167
10,0263702	297,6127226	315,5077816	8,834820859	308,0220795
10,02636848	297,5953386	319,6319402	9,186854255	308,499577
10,0263671	297,5814313	314,6277572	9,009473215	309,2629678
10,02636599	297,5703055	305,8577809	8,471607169	309,7502334
10,02636511	297,5614049	314,4596745	8,286562395	309,8511797
10,0263644	297,5542844	322,8619948	8,309128062	310,4902171
10,02636384	297,5485879	320,2037751	7,501559166	311,1353906
10,02636338	297,5440308	321,2713728	7,18823434	311,7583281
10,02636302	297,5403851	322,9192339	9,087953302	312,317984
10,02636273	297,5374685	322,8292995	9,740771453	313,0037224
10,0263625	297,5351353	322,5588724	7,894336457	313,5210448
10,02636232	297,5332687	322,7065537	7,161386277	314,2235259
10,02636217	297,5317754	322,8286606	8,076763938	314,7986655
10,02636205	297,5305808	322,9643203	8,481802285	315,3995769
10,02636195	297,5296251	322,8350201	7,636300054	315,965984
10,02636188	297,5288605	323,0441174	8,532051892	316,5882551
10,02636182	297,5282489	322,6827317	8,719245041	317,1701571
10,02636177	297,5277596	323,0363892	8,33015156	317,7042835
10,02636173	297,5273681	322,3717438	9,046336522	318,4263154
10,0263617	297,527055	323,0628501	8,512461137	318,9618793
10,02636167	297,5268044	322,5723973	9,590831981	319,5261554
10,02636165	297,526604	322,9984292	7,912121536	320,2096773
10,02636164	297,5264437	322,2458802	6,398394449	320,8371312
10,02636163	297,5263154	322,8057446	7,150396594	321,2253287
10,02636162	297,5262128	322,1225552	8,443248901	321,9805568
10,02636161	297,5261307	320,6893379	8,180363727	322,472482
10,0263616	297,526065	309,6592379	8,208195437	323,0541438
10,0263616	297,5260125	315,8132381	7,71462091	323,2704375
10,02636159	297,5259704	317,5829675	9,490396582	323,6044395
10,02636159	297,5259368	321,3374105	8,573691931	324,0967051
10,02636159	297,6942508	317,3886854	7,663495792	324,7141389
10,02636158	297,8289021	322,8644036	8,495884443	325,1246168
10,02636158	297,9366231	317,8602522	6,937998336	325,786337
10,02636158	298,0227999	322,2710408	7,262755904	326,2797785
10,02636158	298,0917413	319,3201355	6,877377311	326,9774381
10,02636158	298,1468944	319,2543377	7,792287831	327,7553651
10,02918877	298,191017	304,0450635	9,029544375	328,2875631
10,03145052	298,226315	318,1495887	7,56844661	328,5103745
10,03325992	298,2545534	309,5268598	6,860459486	329,12669
10,03470744	298,2771441	300,2174836	7,430594926	329,6143103
10,03586546	298,2952167	323,0955321	6,932990459	329,6178967
10,03679187	298,3096748	311,0986298	5,467784326	330,5169593
10,037533	298,3212412	321,3212645	6,229991981	331,0114128
10,03812591	298,3304944	322,4460455	6,954052386	331,7514321
10,03860023	298,3378969	322,5420693	8,619681591	332,7624679
10,03897969	298,3438189	318,5697703	6,139825775	333,7293068
