CWFlow	OutFlow	Steam	Volume	Entalpy	Level
0	9,04E-05	14,1016	0,003309	13,99314729	20,4776
0	9,04E-05	14,1016668	0,003308979	13,99321419	20,47746617
0	9,04E-05	14,10200083	0,003308875	13,99354868	20,476797
0	9,04E-05	14,10367094	0,003308352	13,99522113	20,47345119
0	9,04E-05	14,11202149	0,003305738	14,00358338	20,45672326
0	9,03E-05	14,15377423	0,003292674	14,04539465	20,37311068
0	9,01E-05	14,36253797	0,003227457	-1,692491358	19,95572483
0	9,00E-05	14,39032	0,003218791	-1,747567444	19,90026468
0	8,99E-05	14,52923017	0,00317551	-1,948874783	19,62326374
0	8,97E-05	14,67904	0,00312892	-1,984520609	19,32508778
0	8,94E-05	14,96776	0,003039386	-2,053058634	18,75206949
0	8,90E-05	15,04	0,002950189	-2,358910736	18,18121006
0	8,87E-05	15,04	0,00286133	-2,753844219	17,61250969
0	8,84E-05	15,04	0,002772808	-3,157648242	17,04596863
0	8,80E-05	15,04	0,002684623	-3,568568051	16,48158708
0	8,77E-05	10,43285442	0,002596776	-8,604706985	15,91936528
0	8,73E-05	0,022385598	0,002509266	-19,4417726	15,35930346
0	8,71E-05	0	0,002422034	-19,29348008	15,019324
0	8,69E-05	0	0,002334994	-19,20435212	14,70597849
0	8,68E-05	0	0,002248143	-19,16226898	14,39331657
0	8,66E-05	0	0,002161483	-19,12108218	14,08133829
0	8,65E-05	0	0,002146258	-19,11371916	14,02652864
0	8,65E-05	0	0,002146258	-19,11371916	14,02652864
0	8,65E-05	0	0,002146258	-19,11371916	14,02652864
0	8,64E-05	0	0,002075012	-19,08562949	13,77004368
0	8,62E-05	0	0,002012897	-19,04921937	13,54642862
0	8,62E-05	0	0,002012897	-19,04910504	13,54642862
0	8,62E-05	0	0,001988733	-19,03239289	13,42338387
0	8,61E-05	0	0,001964595	-19,01011504	13,25924705
0	8,59E-05	0	0,001916404	-18,9656811	12,93154847
0	8,58E-05	0	0,001902749	-18,9530725	12,8386901
0	8,55E-05	0	0,001834607	-18,89002386	12,37532457
0	8,54E-05	0	0,001817123	-18,87381219	12,25643622
0	8,51E-05	0	0,00173996	-18,80154095	11,72771127
0	8,51E-05	0	0,001731857	-18,79354862	11,66936878
0	8,49E-05	0	0,001691393	-18,75358551	11,37802846
0	8,47E-05	0	0,001646964	-18,70960544	11,05814085
0	8,43E-05	0	0,001562451	-18,62565141	10,44964931
1,84E-05	8,40E-05	0	0,00148442	-16,70102825	9,894055336
3,04E-05	8,37E-05	0	0,001425558	-15,38121583	9,493793756
3,92E-05	8,35E-05	0	0,001376716	-14,21782207	9,161671864
5,08E-05	8,33E-05	0	0,001338134	-12,7301237	8,899310364
6,48E-05	8,32E-05	0	0,001312217	-10,93929216	8,723076415
8,12E-05	8,32E-05	0	0,001301559	-8,842965338	8,650601814
0,000100115	8,32E-05	0	0,001309157	-6,410925043	8,702264251
0,000119019	8,33E-05	0	0,001335337	-3,914681571	8,880292185
0,00013562	8,35E-05	0	0,001379518	-1,617104247	9,180723337
0,000149893	8,38E-05	0	0,001438863	0,445948917	9,584266138
0,000160383	8,41E-05	0	0,001510398	2,087222641	10,0748623
0,000167261	8,44E-05	0	0,001590231	3,304944458	10,64966527
0,00017115	8,48E-05	0	0,001675023	4,154149671	11,26016231
0,000172676	8,52E-05	0	0,001762086	4,70066278	11,88218357
0,000172408	8,56E-05	0	0,001849357	5,010694314	12,47563001
0,000170843	8,59E-05	0	0,00193531	5,139836656	13,06010835
0,000170426	8,60E-05	0	0,001951731	5,124180254	13,17177004
0,000170426	8,60E-05	0	0,001951731	5,124180254	13,17177004
0,000168402	8,63E-05	0	0,002018879	5,128002948	13,56796456
0,000166052	8,64E-05	0	0,002084102	5,086045848	13,80276802
0,000165464	8,64E-05	0	0,002099491	5,060217026	13,85816934
0,000162624	8,66E-05	0	0,002176986	4,982571428	14,13715006
0,000160305	8,68E-05	0	0,002251722	4,928463668	14,40619934
0,000158544	8,69E-05	0	0,002324257	4,902317546	14,66732664
0,000157303	8,71E-05	0,385016665	0,00239514	5,2960999	14,92250422
0,000156506	8,72E-05	0,763059844	0,002464858	5,703094207	15,17348889
0,00015606	8,74E-05	1,092634028	0,002533797	6,060764984	15,51629801
0,000155762	8,77E-05	1,417369197	0,002602139	6,401812861	15,95368985
0,00015529	8,80E-05	1,709403671	0,002669863	6,676477082	16,38712608
0,000154452	8,82E-05	1,991781583	0,002736679	6,890494603	16,81474699
0,000153225	8,85E-05	2,245599904	0,002802209	7,024936048	17,234135
0,000151638	8,87E-05	2,341122421	0,00286608	6,95437583	17,642914
0,00014974	8,89E-05	2,42916948	0,002927966	6,840014548	18,03898227
0,000147582	8,92E-05	2,509196317	0,002987589	6,688911841	18,42056835
0,000145215	8,94E-05	2,583094601	0,003044724	6,507579363	18,78623308
0,000142692	8,96E-05	2,785599646	0,003099199	6,43655192	19,13487261
0,000140064	8,98E-05	3,056157941	0,003150894	6,418951573	19,46572466
0,000137439	9,00E-05	3,312286137	0,003199742	6,377743296	19,77834561
0,000135011	9,01E-05	3,555544542	0,003245912	6,336419547	20,07383675
0,000132579	9,03E-05	3,789440834	0,003289483	6,279661104	20,35269074
0,00013016	9,05E-05	4,018208813	0,003330469	6,214005038	20,61500315
0,000127765	9,06E-05	4,242752399	0,0033689	6,141911338	20,86095728
0,000125403	9,07E-05	4,462838951	0,003404812	6,064319238	21,09079922
0,000123079	9,09E-05	4,688463002	0,003438253	5,992165376	21,30482013
0,0001208	9,10E-05	4,973349333	0,003469272	5,979882006	21,50334363
0,000118556	9,11E-05	5,242676471	0,003497921	5,95031385	21,6866927
0,00011631	9,12E-05	5,499234227	0,003524227	5,902674294	21,85505366
0,000114042	9,13E-05	5,744230612	0,003548183	5,836855804	22,00837164
0,000111761	9,13E-05	5,978220437	0,003569779	5,754928842	22,14658386
0,000109483	9,14E-05	6,201516825	0,003589019	5,659156539	22,26971877
0,000107228	9,15E-05	6,414399035	0,003605924	5,551839063	22,37791278
0,00010501	9,15E-05	6,617108255	0,003620533	5,435231336	22,47141141
0,000103173	9,16E-05	6,808416009	0,003633064	5,342578152	22,55160743
0,000101393	9,16E-05	6,986927543	0,003643743	5,240528887	22,61995519
9,97E-05	9,17E-05	7,153157401	0,003652639	5,130643474	22,67688673
9,80E-05	9,17E-05	7,307838795	0,003659823	5,014380213	22,72286952
9,65E-05	9,17E-05	7,444041675	0,003665374	4,885400723	22,75839508
9,50E-05	9,17E-05	7,56403368	0,00366937	4,746524293	22,78397079
9,35E-05	9,17E-05	7,672257055	0,003671893	4,602866272	22,80011338
9,22E-05	9,17E-05	7,768968864	0,003673022	4,454923662	22,80734368
9,09E-05	9,17E-05	7,854200097	0,003672841	4,302953444	22,80618241
8,97E-05	9,17E-05	7,928185101	0,003671429	4,147221543	22,79714348
8,86E-05	9,17E-05	7,992010711	0,003668855	3,986460456	22,78067047
8,74E-05	9,17E-05	8,04598821	0,003665157	3,819022626	22,75700556
8,64E-05	9,17E-05	8,090518475	0,003660368	3,645855563	22,72635567
8,53E-05	9,17E-05	8,126268015	0,003654526	3,468496404	22,68896402
8,43E-05	9,16E-05	8,153807899	0,003647675	3,288462028	22,64512144
8,33E-05	9,16E-05	8,173457305	0,00363987	3,107004832	22,59516862
8,24E-05	9,16E-05	8,185596244	0,003631171	2,925391955	22,53949431
8,16E-05	9,15E-05	8,190635329	0,003621645	2,744836923	22,47853078
8,09E-05	9,15E-05	8,188962187	0,003611367	2,566421939	22,41274752
